new_id,sentence_id,sentence,sentence_tokens,type,dimension_group,speech_act
DOC000001,SENT003,"Eu sei que tô lascado , todo dia tem um processo .","['Eu', 'sei', 'que', 'tô', 'lascado', ',', 'todo', 'dia', 'tem', 'um', 'processo', '.']",General-purpose functions,Information-providing functions,inform
DOC000001,SENT004,"Eu não quero nem que Moro me absolva , eu só quero que ele peça desculpas , disse Lula durante um seminário sobre educação em Brasília .","['Eu', 'não', 'quero', 'nem', 'que', 'Moro', 'me', 'absolva', ',', 'eu', 'só', 'quero', 'que', 'ele', 'peça', 'desculpas', ',', 'disse', 'Lula', 'durante', 'um', 'seminário', 'sobre', 'educação', 'em', 'Brasília', '.']",General-purpose functions,Information-providing functions,inform
DOC000001,SENT005,"Eles [ investigadores ] chegam a dizer : ' Ah , se o Lula não for candidato , ele não vai ter força como cabo eleitoral ' .","['Eles', '[', 'investigadores', ']', 'chegam', 'a', 'dizer', ':', ""'"", 'Ah', ',', 'se', 'o', 'Lula', 'não', 'for', 'candidato', ',', 'ele', 'não', 'vai', 'ter', 'força', 'como', 'cabo', 'eleitoral', ""'"", '.']",General-purpose functions,Information-providing functions,inform
DOC000001,SENT008,"O ex-presidente disse ainda não ter "" medo "" de os investigadores que , de acordo com ele , estão acostumados a "" mexer com deputados e senadores "" que temem as apurações .","['O', 'ex-presidente', 'disse', 'ainda', 'não', 'ter', '""', 'medo', '""', 'de', 'os', 'investigadores', 'que', ',', 'de', 'acordo', 'com', 'ele', ',', 'estão', 'acostumados', 'a', '""', 'mexer', 'com', 'deputados', 'e', 'senadores', '""', 'que', 'temem', 'as', 'apurações', '.']",General-purpose functions,Information-providing functions,inform
DOC000001,SENT010,"De acordo com aliados , Lula não gosta de discutir , mesmo que em os bastidores , a chance de não ser candidato a o Planalto e a projeção de o nome de Haddad como plano B de o PT tem incomodado os mais próximos a o ex-presidente .","['De', 'acordo', 'com', 'aliados', ',', 'Lula', 'não', 'gosta', 'de', 'discutir', ',', 'mesmo', 'que', 'em', 'os', 'bastidores', ',', 'a', 'chance', 'de', 'não', 'ser', 'candidato', 'a', 'o', 'Planalto', 'e', 'a', 'projeção', 'de', 'o', 'nome', 'de', 'Haddad', 'como', 'plano', 'B', 'de', 'o', 'PT', 'tem', 'incomodado', 'os', 'mais', 'próximos', 'a', 'o', 'ex-presidente', '.']",General-purpose functions,Information-providing functions,inform
DOC000001,SENT011,"O ex-prefeito , que estava em o evento em esta segunda , fez um discurso rápido , de menos de dez minutos , em que encerrou dizendo esperar que Lula assuma a Presidência em 2019 .","['O', 'ex-prefeito', ',', 'que', 'estava', 'em', 'o', 'evento', 'em', 'esta', 'segunda', ',', 'fez', 'um', 'discurso', 'rápido', ',', 'de', 'menos', 'de', 'dez', 'minutos', ',', 'em', 'que', 'encerrou', 'dizendo', 'esperar', 'que', 'Lula', 'assuma', 'a', 'Presidência', 'em', '2019', '.']",General-purpose functions,Information-providing functions,inform
DOC000001,SENT012,""" Espero que dia 1º de janeiro de 2019 esse pesadelo chamado Temer acabe e o senhor assuma a Presidência de a República "" , disse Haddad .","['""', 'Espero', 'que', 'dia', '1º', 'de', 'janeiro', 'de', '2019', 'esse', 'pesadelo', 'chamado', 'Temer', 'acabe', 'e', 'o', 'senhor', 'assuma', 'a', 'Presidência', 'de', 'a', 'República', '""', ',', 'disse', 'Haddad', '.']",General-purpose functions,Information-providing functions,inform
DOC000001,SENT013,"Lula voltou a fazer um discurso mais agressivo em relação a o mercado e disse que "" não tem cara de demônio "" , mas quer que o respeitem "" como se fosse "" .","['Lula', 'voltou', 'a', 'fazer', 'um', 'discurso', 'mais', 'agressivo', 'em', 'relação', 'a', 'o', 'mercado', 'e', 'disse', 'que', '""', 'não', 'tem', 'cara', 'de', 'demônio', '""', ',', 'mas', 'quer', 'que', 'o', 'respeitem', '""', 'como', 'se', 'fosse', '""', '.']",General-purpose functions,Information-providing functions,inform
DOC000001,SENT016,"Folha publicou em esta segunda ( 9 ) reportagem em que mostrou que o deputado ensaia movimento a o centro em o debate econômico , adotando um discurso simpático a os investidores de o mercado financeiro .","['Folha', 'publicou', 'em', 'esta', 'segunda', '(', '9', ')', 'reportagem', 'em', 'que', 'mostrou', 'que', 'o', 'deputado', 'ensaia', 'movimento', 'a', 'o', 'centro', 'em', 'o', 'debate', 'econômico', ',', 'adotando', 'um', 'discurso', 'simpático', 'a', 'os', 'investidores', 'de', 'o', 'mercado', 'financeiro', '.']",General-purpose functions,Information-providing functions,inform
DOC000001,SENT017,"Lula diz que está ' lascado ' , mas que ainda tem força como cabo eleitoral .","['Lula', 'diz', 'que', 'está', ""'"", 'lascado', ""'"", ',', 'mas', 'que', 'ainda', 'tem', 'força', 'como', 'cabo', 'eleitoral', '.']",General-purpose functions,Information-providing functions,inform
DOC000005,SENT004,"A primeira parceria é com a Bom Pra Crédito , marketplace em o qual cerca de 500 mil interessados em tomar empréstimo pessoal submetem todo mês pedidos que são distribuídos para cerca de 25 bancos oferecerem propostas .","['A', 'primeira', 'parceria', 'é', 'com', 'a', 'Bom', 'Pra', 'Crédito', ',', 'marketplace', 'em', 'o', 'qual', 'cerca', 'de', '500', 'mil', 'interessados', 'em', 'tomar', 'empréstimo', 'pessoal', 'submetem', 'todo', 'mês', 'pedidos', 'que', 'são', 'distribuídos', 'para', 'cerca', 'de', '25', 'bancos', 'oferecerem', 'propostas', '.']",General-purpose functions,Information-providing functions,inform
DOC000005,SENT005,"Além de esse acordo , já em andamento , negociações estão em curso com outras quatro fintechs especializadas em crédito : Guia Bolso , Lendico , Finanzero e Wecash , previstas para estarem operacionais ainda em 2017 .","['Além', 'de', 'esse', 'acordo', ',', 'já', 'em', 'andamento', ',', 'negociações', 'estão', 'em', 'curso', 'com', 'outras', 'quatro', 'fintechs', 'especializadas', 'em', 'crédito', ':', 'Guia', 'Bolso', ',', 'Lendico', ',', 'Finanzero', 'e', 'Wecash', ',', 'previstas', 'para', 'estarem', 'operacionais', 'ainda', 'em', '2017', '.']",General-purpose functions,Information-providing functions,inform
DOC000005,SENT006,"O movimento marca a primeira aproximação operacional , mesmo que de forma indireta , de grandes bancos com fintechs , que em os últimos dois anos emergiram como potenciais rivais em o crédito pessoal , a o oferecerem taxas de juros muito menores de o que as praticadas em o sistema financeiro .","['O', 'movimento', 'marca', 'a', 'primeira', 'aproximação', 'operacional', ',', 'mesmo', 'que', 'de', 'forma', 'indireta', ',', 'de', 'grandes', 'bancos', 'com', 'fintechs', ',', 'que', 'em', 'os', 'últimos', 'dois', 'anos', 'emergiram', 'como', 'potenciais', 'rivais', 'em', 'o', 'crédito', 'pessoal', ',', 'a', 'o', 'oferecerem', 'taxas', 'de', 'juros', 'muito', 'menores', 'de', 'o', 'que', 'as', 'praticadas', 'em', 'o', 'sistema', 'financeiro', '.']",General-purpose functions,Information-providing functions,inform
DOC000005,SENT007,"Segundo o presidente de a Bom Pra Crédito , Ricardo Kalichsztein , ser parceiro é melhor .","['Segundo', 'o', 'presidente', 'de', 'a', 'Bom', 'Pra', 'Crédito', ',', 'Ricardo', 'Kalichsztein', ',', 'ser', 'parceiro', 'é', 'melhor', '.']",General-purpose functions,Information-providing functions,inform
DOC000005,SENT008,"CBSS , em o caso , oferecerá empréstimos pessoais sem garantia com taxas a partir de 3,9 % a o mês .","['CBSS', ',', 'em', 'o', 'caso', ',', 'oferecerá', 'empréstimos', 'pessoais', 'sem', 'garantia', 'com', 'taxas', 'a', 'partir', 'de', '3,9', '%', 'a', 'o', 'mês', '.']",General-purpose functions,Information-providing functions,inform
DOC000005,SENT009,"A taxa média de o sistema financeiro foi de 7,2 % a o mês , segundo dados de o Banco Central referentes a agosto .","['A', 'taxa', 'média', 'de', 'o', 'sistema', 'financeiro', 'foi', 'de', '7,2', '%', 'a', 'o', 'mês', ',', 'segundo', 'dados', 'de', 'o', 'Banco', 'Central', 'referentes', 'a', 'agosto', '.']",General-purpose functions,Information-providing functions,inform
DOC000005,SENT010,A iniciativa acontece em meio a uma audiência pública aberta por o Banco Central para regulamentar a atuação de as plataformas digitais de crédito .,"['A', 'iniciativa', 'acontece', 'em', 'meio', 'a', 'uma', 'audiência', 'pública', 'aberta', 'por', 'o', 'Banco', 'Central', 'para', 'regulamentar', 'a', 'atuação', 'de', 'as', 'plataformas', 'digitais', 'de', 'crédito', '.']",General-purpose functions,Information-providing functions,inform
DOC000005,SENT011,"A proposta de o BC é classificar essas fintechs em duas categorias , a que empresta com capital de os próprios acionistas e a que conecta investidores a tomadores de recursos , prática conhecida como peer to peer lending .","['A', 'proposta', 'de', 'o', 'BC', 'é', 'classificar', 'essas', 'fintechs', 'em', 'duas', 'categorias', ',', 'a', 'que', 'empresta', 'com', 'capital', 'de', 'os', 'próprios', 'acionistas', 'e', 'a', 'que', 'conecta', 'investidores', 'a', 'tomadores', 'de', 'recursos', ',', 'prática', 'conhecida', 'como', 'peer', 'to', 'peer', 'lending', '.']",General-purpose functions,Information-providing functions,inform
